Experimento,Nº Usuários,Unidade ID,Data/Hora Início,Status Execução,Duração (ms),Conexões ativas,Nº blocos lidos do disco,Nº blocos lidos da cache,Nº Arq. Temp.,Tamanho Arq. Temp.,I/O Read,I/O Write,Taxa de uso da cache
Exp_02, 5, 18006, 2025-02-13T11:00:55.028180, SUCCESS, 6154, 14, 1609067, 8703453, 23, 1192411136, 0.0, 0.0, 84.3969563210544077
Exp_02, 5, 18008, 2025-02-13T11:00:56.800029, SUCCESS, 5341, 14, 1624490, 8786273, 24, 1259061248, 0.0, 0.0, 84.3960524315076618
Exp_02, 5, 18008, 2025-02-13T11:01:00.085206, SUCCESS, 2399, 10, 1643609, 8940029, 25, 1286881280, 0.0, 0.0, 84.4702832806639834
Exp_02, 5, 18007, 2025-02-13T11:01:00.076610, SUCCESS, 2427, 10, 1653072, 8962321, 25, 1286881280, 0.0, 0.0, 84.4275949086388040
Exp_02, 5, 18008, 2025-02-13T11:00:58.183579, SUCCESS, 5332, 14, 1672803, 9040833, 26, 1353531392, 0.0, 0.0, 84.3862251806949573
Exp_02, 5, 18008, 2025-02-13T11:01:02.487594, SUCCESS, 1692, 12, 1681568, 9134419, 26, 1353531392, 0.0, 0.0, 84.4529398935113365
Exp_02, 5, 18006, 2025-02-13T11:01:02.506109, SUCCESS, 2360, 12, 1697653, 9220855, 27, 1381343232, 0.0, 0.0, 84.4516027281383134
Exp_02, 5, 18008, 2025-02-13T11:01:04.182790, SUCCESS, 2723, 12, 1712136, 9308660, 29, 1436975104, 0.0, 0.0, 84.4644978457091484
Exp_02, 5, 18006, 2025-02-13T11:01:04.869485, SUCCESS, 2339, 12, 1732929, 9390444, 29, 1436975104, 0.0, 0.0, 84.4208317027577876
Exp_02, 5, 18006, 2025-02-13T11:01:01.188848, SUCCESS, 6225, 14, 1752986, 9468891, 30, 1503625216, 0.0, 0.0, 84.3788521296392751
Exp_02, 5, 18007, 2025-02-13T11:01:02.144868, SUCCESS, 5473, 14, 1770039, 9550087, 31, 1570275328, 0.0, 0.0, 84.3637871168571799
Exp_02, 5, 18007, 2025-02-13T11:01:03.518396, SUCCESS, 4668, 14, 1784553, 9633822, 32, 1636925440, 0.0, 0.0, 84.3712174455647148
